Asset,N_obs,Violations,Expected,Kupiec_LR,Kupiec_p,Christoffersen_LR,Christoffersen_p
Bitcoin,2681,142,134.05,0.48727162321642936,0.48514690170927377,1.5899568344079853,0.20733230108590162
US Dollar,2681,144,134.05,0.7598469694112282,0.38337641741848305,6.144778590507485,0.013180066647982769
Gold,2681,145,134.05,0.9181990507615865,0.33794828745307137,1.3063328291445941,0.25305969149802565
S&P 500,2681,137,134.05,0.06786690588796773,0.794468262474555,18.962913418152766,1.3328410762292187e-05
