Series,ADF_stat,p_value,lags_used,n_obs,crit_1pct,crit_5pct,crit_10pct
Bitcoin (level),-1.0720014573834447,0.7261072994452723,31,4234,-3.431895410723543,-2.862222877239852,-2.567133501048377
Bitcoin (log return),-66.96625103870291,0.0,0,4264,-3.431884531202631,-2.862218071099101,-2.5671309424885336
US Dollar (level),-1.9914066185651478,0.29035366222983533,6,2929,-3.4325845647747215,-2.8625272824212167,-2.5672955578799543
US Dollar (log return),-18.960480532300817,0.0,9,2925,-3.4325876232778527,-2.862528633231224,-2.567296277039959
Gold (level),1.269158345385787,0.9964305429988048,28,2907,-3.4326014907937523,-2.8625347579024583,-2.567299537766863
Gold (log return),-22.42457669234638,0.0,6,2928,-3.4325853286163874,-2.8625276197775373,-2.5672957374856296
S&P 500 (level),1.1905032777420341,0.9959196085655578,9,2926,-3.432586857867417,-2.862528295182304,-2.567296097065506
S&P 500 (log return),-17.524044594358568,4.270650716018931e-30,8,2926,-3.432586857867417,-2.862528295182304,-2.567296097065506
