Asset,Historical_VaR95,Historical_ES95,CornishFisher_VaR95,EVT_VaR95,EVT_ES95,EVT_xi
Bitcoin,5.268557254858604,8.545564276954664,5.450356169093141,5.278323045603425,8.545801068915262,0.14847325801923228
S&P 500,1.6600237058941323,2.7303585379522106,1.6305890948904045,1.6614376158077666,2.730177455461748,0.22260850863254195
Gold,1.6487455394628174,2.509622700719092,1.698650731681025,1.6499144203344855,2.509617964463251,0.2010793992506869
US Dollar,0.7376336397009067,1.1179086961749587,0.7896619567012761,0.7380424721685714,1.1137993782706568,0.36058996961897827
