Model,Distribution,LogLik,AIC,BIC
EGARCH,t,-10404.11492357253,20818.22984714506,20850.020834444687
EGARCH,skewt,-10404.114256550187,20820.228513100374,20858.377697859927
GARCH,t,-10426.319826732179,20862.639653464357,20894.430640763985
GJR-GARCH,t,-10425.430044808343,20862.860089616686,20901.00927437624
GARCH,skewt,-10426.319406942572,20864.638813885143,20902.787998644697
GJR-GARCH,skewt,-10425.429843426531,20864.859686853062,20909.36706907254
GJR-GARCH,normal,-10947.480630606497,21904.961261212993,21936.75224851262
GARCH,normal,-10954.179543787934,21916.359087575867,21941.79187741557
EGARCH,normal,-10957.817849395371,21923.635698790742,21949.068488630444
