Series,ADF_stat,p_value,lags_used,n_obs,crit_1pct,crit_5pct,crit_10pct
Bitcoin (level),-1.0383082625994526,0.7390371732155876,27,2905,-3.4326030422464138,-2.8625354431090244,-2.5672999025657584
Bitcoin (log return),-29.73823398094886,0.0,2,2929,-3.4325845647747215,-2.8625272824212167,-2.5672955578799543
US Dollar (level),-0.4043786552485669,0.9093651277288,6,2926,-3.432586857867417,-2.862528295182304,-2.567296097065506
US Dollar (log return),-23.871438011917057,0.0,5,2926,-3.432586857867417,-2.862528295182304,-2.567296097065506
Gold (level),1.1785957917597205,0.9958346122390177,28,2904,-3.4326038187748256,-2.8625357860664167,-2.5673000851537537
Gold (log return),-15.256420363183892,4.9284127201883655e-28,11,2920,-3.432591458200774,-2.862530326950686,-2.567297178762432
S&P 500 (level),1.1895418836068499,0.9959128250270234,9,2923,-3.4325891556712564,-2.8625293100233224,-2.5672966373585266
S&P 500 (log return),-17.53424946766252,4.2213673595406066e-30,8,2923,-3.4325891556712564,-2.8625293100233224,-2.5672966373585266
