Asset,Historical_VaR95,Historical_ES95,CornishFisher_VaR95,EVT_VaR95,EVT_ES95,EVT_xi
Bitcoin,6.178085284932444,10.079301022907515,6.545380504161393,6.186685769886683,10.097556125962635,0.19271044242706528
S&P 500,1.6622406391921072,2.7311157695510926,1.632050766176678,1.6644993598191984,2.732040950795193,0.22326012310937343
Gold,1.6400432995470378,2.501302827915969,1.6937569531044718,1.641893654102903,2.5007852453887884,0.2091281278006881
US Dollar,0.7201672684191165,1.0223425673986384,0.7108221107267324,0.7208757158977148,1.0227590158788755,0.13857721104745432
